Controller,median_IAE,median_ISE,median_Overshoot_%,median_Settling_s,median_Energy_sum_u2,median_Violation_s,q1_IAE,q1_ISE,q1_Overshoot_%,q1_Settling_s,q1_Energy_sum_u2,q1_Violation_s,q3_IAE,q3_ISE,q3_Overshoot_%,q3_Settling_s,q3_Energy_sum_u2,q3_Violation_s
MPC,10834.553112762613,176693.5196877131,0.0,900.0,889.3856000000001,0.0,9532.415427171734,143447.85340119753,0.0,806.5,817.8792669750878,0.0,17971.244994580637,420413.82854778424,0.0055883419222091,900.0,889.3856000000001,0.0
PID,11277.91002062474,178073.40767424315,0.0,900.0,844.0516733993516,0.0,9738.820723474611,150091.42272571672,0.0,896.5,801.9832244395129,0.0,18045.503078711612,423104.88429798296,0.14845496185412085,900.0,881.4114361028716,0.0
