profile,Controller,median_IAE,median_ISE,median_Overshoot_%,median_Settling_s,median_Energy_sum_u2,median_Violation_s,q1_IAE,q1_ISE,q1_Overshoot_%,q1_Settling_s,q1_Energy_sum_u2,q1_Violation_s,q3_IAE,q3_ISE,q3_Overshoot_%,q3_Settling_s,q3_Energy_sum_u2,q3_Violation_s
multistep,MPC,9619.03785548436,150600.90955230774,0.956911531571052,779.0,715.7247518100751,0.0,8621.314567606152,126086.60117218718,0.0111766838444182,699.0,660.4290524591078,0.0,10655.383688639493,173107.19121668526,8.68775474527844,797.0,808.693277571654,0.0
multistep,PID,9800.771621341042,152116.061406575,4.897824681136171,833.0,731.5479441176974,0.0,8914.09004791634,128129.84744661584,0.2969099237082417,813.0,668.643873756977,0.0,10741.474911806805,174452.52065893548,11.076002741113378,893.0,795.212746320678,0.0
ramp,MPC,10517.986269615596,148403.58760304344,0.0,900.0,889.3856000000001,0.0,8722.117716921977,103476.21376251517,0.0,900.0,889.3856000000001,0.0,11917.659148844528,189775.211177551,0.0,900.0,889.3856000000001,0.0
ramp,PID,11277.91002062474,167088.1350934342,0.0,900.0,844.0516733993516,0.0,9651.327591222836,122692.48924926674,0.0,900.0,840.0557904701199,0.0,12561.778341053312,207611.8694284504,0.0,900.0,846.0552819029259,0.0
step,MPC,19985.4862696156,489439.1980590982,0.0,900.0,889.3856000000001,0.0,18189.61771692198,427188.057027197,0.0,900.0,889.3856000000001,0.0,21385.159148844526,544032.3341875196,0.0,900.0,889.3856000000001,0.0
step,PID,20040.12756046653,491786.7589775725,0.0,900.0,884.6966090415154,0.0,18262.682435305444,429892.1721712899,0.0,900.0,881.7877278895918,0.0,21430.39667093393,546148.9263064608,0.0,900.0,885.8805345158921,0.0
