mismatch,Controller,median_IAE,median_ISE,median_Overshoot_%,median_Settling_s,median_Energy_sum_u2,median_Violation_s,q1_IAE,q1_ISE,q1_Overshoot_%,q1_Settling_s,q1_Energy_sum_u2,q1_Violation_s,q3_IAE,q3_ISE,q3_Overshoot_%,q3_Settling_s,q3_Energy_sum_u2,q3_Violation_s
minus20,MPC,8621.314567606152,121072.3004296816,0.0,900.0,889.3856000000001,0.0,8319.597265533896,103476.21376251517,0.0,851.0,660.4290524591078,0.0,17316.126827555574,400638.2793784109,8.68775474527844,900.0,889.3856000000001,0.0
minus20,PID,9235.596529008952,123189.16423763864,0.0,900.0,838.2111499592642,0.0,8821.650006230888,118556.48589062804,0.0,900.0,668.643873756977,0.0,17394.51656576187,403293.77082519047,11.076002741113378,900.0,880.3008262492867,0.0
nominal,MPC,10517.986269615596,154871.4630261304,0.0,900.0,889.3856000000001,0.0,9810.361414438106,148403.58760304344,0.0,699.0,734.1657935714031,0.0,19692.788349090828,478840.3125579075,0.5156563071719589,900.0,889.3856000000001,0.0
nominal,PID,11277.91002062474,167088.1350934342,0.0,900.0,844.0516733993516,0.0,9945.557055779796,156345.05526703206,0.0,882.0,741.9439080915232,0.0,19748.4062807597,481175.325253953,3.5795687792775865,900.0,884.2591201543464,0.0
plus20,MPC,12127.505239204764,196489.74335989813,0.0,900.0,889.3856000000001,0.0,11021.828565806632,180384.3761898528,0.0,816.0,846.5183009437721,0.0,21385.159148844526,544032.3341875196,0.0,900.0,889.3856000000001,0.0
plus20,PID,12765.87527949996,214458.2508473103,0.0,900.0,846.5188141509886,0.0,11120.994002993612,181803.0934123823,0.0,832.0,824.0995046058923,0.0,21430.39667093393,546148.9263064608,0.0,900.0,885.8805345158921,0.0
