Ta,Controller,median_IAE,median_ISE,median_Overshoot_%,median_Settling_s,median_Energy_sum_u2,median_Violation_s,q1_IAE,q1_ISE,q1_Overshoot_%,q1_Settling_s,q1_Energy_sum_u2,q1_Violation_s,q3_IAE,q3_ISE,q3_Overshoot_%,q3_Settling_s,q3_Energy_sum_u2,q3_Violation_s
20,MPC,11021.828565806632,180384.3761898528,0.0,900.0,889.3856000000001,0.0,9810.361414438106,154871.4630261304,0.0,816.0,846.5183009437721,0.0,18189.61771692198,427188.057027197,0.0,900.0,889.3856000000001,0.0
20,PID,11560.79577838679,181803.0934123823,0.0,900.0,844.8713049352098,0.0,9945.557055779796,156345.05526703206,0.0,893.0,824.0995046058923,0.0,18262.682435305444,429892.1721712899,0.0,900.0,881.7877278895918,0.0
25,MPC,10834.553112762613,176693.5196877131,0.0,900.0,889.3856000000001,0.0,9619.03785548436,148403.58760304344,0.0,797.0,827.0652563785218,0.0,17752.872272239292,413639.6000683715,0.0,900.0,889.3856000000001,0.0
25,PID,11277.91002062474,178073.40767424315,0.0,900.0,844.0516733993516,0.0,9800.771621341042,152116.061406575,0.0,900.0,808.753702558348,0.0,17828.32372211778,416317.596424676,0.0,900.0,881.0351443161513,0.0
30,MPC,10655.383688639493,173107.19121668526,0.0,900.0,889.3856000000001,0.0,9445.792998859111,140428.91699257988,0.0,851.0,808.693277571654,0.0,17316.126827555574,400638.2793784109,0.0111766838444182,900.0,889.3856000000001,0.0
30,PID,10995.50412654687,174452.52065893548,0.0,900.0,843.1554286135618,0.0,9676.86982560818,148066.78404485848,0.0,900.0,795.212746320678,0.0,17394.51656576187,403293.77082519047,0.2969099237082417,900.0,880.3008262492867,0.0
