Scenario,Controller,IAE,ISE,Overshoot_%,Settling_s,Energy_sum_u2,Violation_s
step_Ta25_nominal,PID,9181.11149413726,283071.5631718446,0.0,300.0,287.3892,0.0
step_Ta25_nominal,MPC,9163.863520393685,282017.85480140755,0.0,300.0,289.3856,0.0
ramp_Ta25_nominal,PID,6050.439756569974,147386.52389749876,0.0,300.0,281.4754781431996,0.0
ramp_Ta25_nominal,MPC,5996.363520393685,145146.1051144122,0.0,300.0,289.3856,0.0
multistep_Ta25_nominal,PID,5580.066528324732,110247.17435367595,0.0,300.0,285.77676396971896,0.0
multistep_Ta25_nominal,MPC,5561.363520393685,109562.75859115244,0.0,300.0,289.3856,0.0
